Capability,Tool,Status,Integrated,Working
General,server,Metadata Only,No,No
General,service,Metadata Only,No,No
General,services_commands,Metadata Only,No,No
General,service_intelligence_view,Metadata Only,No,No
General,settings,Metadata Only,No,No
General,shared,Metadata Only,No,No
General,sherlock,Metadata Only,No,No
General,shodan_api,Metadata Only,No,No
General,shodan_apicpython-313,Metadata Only,No,No
General,shodan_search,Metadata Only,No,No
General,sitemap-agent,Metadata Only,No,No
General,SKILL,Metadata Only,No,No
General,skills,Metadata Only,No,No
General,SKILL_11,Metadata Only,No,No
General,SKILL_13,Metadata Only,No,No
General,SKILL_3,Metadata Only,No,No
General,SKILL_7,Metadata Only,No,No
General,SKILL_9,Metadata Only,No,No
General,source-gen-agent,Metadata Only,No,No
General,ssti_polyglot,Metadata Only,No,No
General,status,Metadata Only,No,No
General,stored_xss,Metadata Only,No,No
General,style,Metadata Only,No,No
General,sub_agent_context,Metadata Only,No,No
General,sub_agent_context_test,Metadata Only,No,No
General,SUMMARY,Metadata Only,No,No
General,swagger_2,Metadata Only,No,No
General,swagger_parser,Metadata Only,No,No
General,tasks,Metadata Only,No,No
General,telemetry,Metadata Only,No,No
General,terminal,Metadata Only,No,No
General,test-cortex-integration,Metadata Only,No,No
General,test-gen-agent,Metadata Only,No,No
General,testLogin,Metadata Only,No,No
General,test_agent_loop,Metadata Only,No,No
General,test_agent_mode_cli,Metadata Only,No,No
General,test_anthropic_agent,Metadata Only,No,No
General,test_auth_profiles,Metadata Only,No,No
General,test_auth_profile_cli,Metadata Only,No,No
General,test_auth_runner,Metadata Only,No,No
General,test_benchmarks_scoring_common,Metadata Only,No,No
General,test_browser_agent,Metadata Only,No,No
AI,test_chain,Metadata Only,No,No
AI,test_chain_quality,Metadata Only,No,No
General,test_config,Metadata Only,No,No
General,test_connection,Metadata Only,No,No
Web Enumeration,test_handler_web_probes,Metadata Only,No,No
General,test_langfuse_1,Metadata Only,No,No
General,test_legacy_probe_migration,Metadata Only,No,No
AI,test_llm,Metadata Only,No,No
AI,test_llm_e2e_smoke,Metadata Only,No,No
General,test_mcp_action_surface,Metadata Only,No,No
General,test_new_high_roi_probes,Metadata Only,No,No
General,test_probe_cors_reflection,Metadata Only,No,No
General,test_probe_coupon_forging,Metadata Only,No,No
General,test_probe_cve_poc,Metadata Only,No,No
General,test_probe_deserialization,Metadata Only,No,No
General,test_probe_dom_xss,Metadata Only,No,No
General,test_probe_file_upload_validation,Metadata Only,No,No
General,test_probe_forced_error,Metadata Only,No,No
General,test_probe_graphql_introspection,Metadata Only,No,No
General,test_probe_hidden_discovery,Metadata Only,No,No
General,test_probe_host_header_reset_poisoning,Metadata Only,No,No
General,test_probe_idor_authenticated,Metadata Only,No,No
