Repository,Expected Components,Recovered Components,Missing Components
juice-shop,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
juiceshop,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
junit_xml,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
jwt_jku_x5u_ssrf,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
katana,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
katana_2,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
katana_tool,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
Keygraph_Button,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
kiterunner,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
kiterunner_tool,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
knowledge,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
knowledge-base,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
knowledgejs,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
knowledge_base,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
knowledge_base_1,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
known_fqdn,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
kubernetes_analyzer,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
langfuse,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
lark,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
lateral-movement,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
layout,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ldap-search,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
ldap_injection,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
leaked_credentials,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
leakix,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
leakix_2,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
learning_mode,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
ledger,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
legacy,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LegacyPentestRunner,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
lei_record,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
lfi_wordlist,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
libc-database,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
library,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_1,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_10,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_12,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_13,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_14,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
LICENSE_2,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_3,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
LICENSE_4,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_6,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_7,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
LICENSE_9,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
linkedin,"Source, Documentation, Test, Configuration","Documentation, Wrapper","Source, Test, Configuration"
linpeas,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
lint,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
lint_python,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
listener,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
listener_http,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
listener_tcp,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
listener_websocket,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
live_capture,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
llm,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
llm-analysis,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
llm-analyzer,"Source, Documentation, Test, Configuration","Documentation, Configuration, Wrapper","Source, Test"
llm-app-redteam,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
llm-client,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
llm-clienttest,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
llm-clienttest_1,"Source, Documentation, Test, Configuration",Wrapper,"Source, Documentation, Test, Configuration"
